Postcode,ABSTUDY_Living_allowance,ABSTUDY_Non_living_allowance,Age_Pension,Austudy,Carer_Allowance,Carer_Allowance_Child_Health_Care_Card_only,Carer_Payment,Commonwealth_Seniors_Health_Card,Double_Orphan_Pension,Disability_Support_Pension,Family_Tax_Benefit_Part_A,Family_Tax_Benefit_Part_B,Health_Care_Card,Low_Income_Card,Newstart_Allowance,Parenting_Payment_Partnered,Parenting_Payment_Single,Partner_Allowance,Pensioner_Concession_Card,Sickness_Allowance,Special_Benefit,Wife_Pension_Partner_on_Age_Pension,Wife_Pension_Partner_on_Disability_Support_Pension,Widow_Allowance,Widow_B_Pension,Youth_Allowance_other,Youth_Allowance_student_and_apprentice
2324,<20,41,"3,508",26,"1,007",31,426,353,<20,"1,426","2,073","1,867","1,718",238,921,153,458,<20,"6,193",<20,<20,<20,<20,38,<20,189,143
2325,<20,33,"3,427",28,"1,097",38,496,180,<20,"1,817","2,223","2,076","1,931",203,"1,104",157,577,22,"6,822",<20,<20,<20,27,27,<20,250,137
2326,<20,<20,880,<20,364,<20,180,<20,<20,568,672,616,580,59,315,55,177,<20,"1,916",<20,<20,<20,<20,<20,<20,82,41
2327,<20,<20,"1,069",<20,392,<20,192,21,<20,607,744,676,651,86,352,51,205,<20,"2,231",<20,<20,<20,<20,<20,<20,85,53
2328,<20,<20,239,<20,42,<20,<20,36,<20,54,161,162,107,<20,55,<20,34,<20,371,<20,<20,<20,<20,<20,<20,<20,<20
2329,<20,<20,295,<20,58,<20,23,40,<20,93,181,151,141,20,69,<20,36,<20,474,<20,<20,<20,<20,<20,<20,<20,<20
2330,<20,<20,"1,528",<20,447,21,137,232,<20,630,"1,049","1,167",931,115,416,37,234,<20,"2,706",<20,<20,<20,<20,<20,<20,119,50
2333,<20,<20,"1,039",<20,242,<20,86,107,<20,548,912,958,790,71,453,62,282,<20,"2,136",<20,<20,<20,<20,<20,<20,117,29
2334,<20,<20,209,<20,100,<20,46,<20,<20,134,241,247,185,23,90,<20,49,<20,478,<20,<20,<20,<20,<20,<20,<20,<20
2335,<20,<20,411,<20,142,<20,49,45,<20,188,317,333,202,27,96,<20,69,<20,756,<20,<20,<20,<20,<20,<20,20,<20
2336,<20,<20,250,<20,61,<20,26,28,<20,75,139,145,116,<20,61,<20,29,<20,407,<20,<20,<20,<20,<20,<20,<20,<20
2337,<20,<20,861,<20,138,<20,57,123,<20,203,440,431,309,41,133,21,88,<20,"1,275",<20,<20,<20,<20,<20,<20,29,<20
2338,<20,<20,248,<20,37,<20,<20,27,<20,63,90,81,66,<20,38,<20,20,<20,366,<20,<20,<20,<20,<20,<20,<20,<20
2339,<20,<20,79,<20,22,<20,<20,<20,<20,33,50,43,51,<20,28,<20,<20,<20,135,<20,<20,<20,<20,<20,<20,<20,<20
2340,67,261,"5,710",33,"1,330",59,560,553,<20,"2,070","4,230","3,535","3,407",425,"1,750",232,"1,072",<20,"10,025",20,<20,<20,<20,45,<20,415,224
2341,<20,<20,328,<20,98,<20,39,<20,<20,143,148,146,168,<20,99,<20,43,<20,582,<20,<20,<20,<20,<20,<20,24,<20
2342,<20,<20,59,<20,<20,<20,<20,<20,<20,<20,38,32,35,<20,22,<20,<20,<20,88,<20,<20,<20,<20,<20,<20,<20,<20
2343,<20,30,674,<20,152,<20,72,105,<20,225,399,334,352,41,171,20,82,<20,"1,112",<20,<20,<20,<20,<20,<20,40,<20
2344,<20,<20,71,<20,<20,<20,<20,<20,<20,21,36,25,28,<20,<20,<20,<20,<20,105,<20,<20,<20,<20,<20,<20,<20,<20
2345,<20,<20,88,<20,<20,<20,<20,<20,<20,24,70,50,38,<20,<20,<20,<20,<20,141,<20,<20,<20,<20,<20,<20,<20,<20
2346,<20,<20,589,<20,156,<20,76,37,<20,256,280,237,271,41,166,<20,60,<20,"1,043",<20,<20,<20,<20,<20,<20,29,<20
2347,<20,<20,438,<20,76,<20,35,43,<20,150,151,115,154,27,77,<20,27,<20,679,<20,<20,<20,<20,<20,<20,<20,<20
2348,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
2350,86,103,"2,444",113,556,22,253,482,<20,"1,060","1,930","1,581","2,402",976,835,125,384,<20,"4,455",<20,<20,<20,<20,<20,<20,233,"1,187"
2351,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,254,251,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,355
2352,<20,<20,370,<20,89,<20,24,27,<20,110,251,199,186,<20,94,<20,52,<20,615,<20,<20,<20,<20,<20,<20,22,<20
2353,<20,<20,152,<20,23,<20,<20,<20,<20,42,75,47,53,<20,28,<20,<20,<20,228,<20,<20,<20,<20,<20,<20,<20,<20
2354,<20,<20,427,<20,74,<20,33,122,<20,151,286,203,219,31,96,22,38,<20,691,<20,<20,<20,<20,<20,<20,<20,<20
2355,<20,<20,102,<20,24,<20,<20,<20,<20,39,57,38,54,<20,28,<20,<20,<20,174,<20,<20,<20,<20,<20,<20,<20,<20
2356,<20,<20,36,<20,<20,<20,<20,<20,<20,<20,<20,<20,20,<20,<20,<20,<20,<20,68,<20,<20,<20,<20,<20,<20,<20,<20
2357,<20,35,695,<20,161,<20,80,76,<20,290,363,299,331,38,164,27,74,<20,"1,206",<20,<20,<20,<20,<20,<20,29,<20
2358,<20,<20,555,<20,125,<20,54,65,<20,213,349,260,304,70,120,22,58,<20,927,<20,<20,<20,<20,<20,<20,29,39
2359,<20,<20,104,<20,41,<20,<20,<20,<20,70,87,70,78,<20,41,<20,<20,<20,220,<20,<20,<20,<20,<20,<20,<20,<20
2360,<20,66,"2,169",<20,491,<20,201,216,<20,856,"1,433","1,139","1,204",126,585,98,343,<20,"3,816",<20,<20,<20,<20,21,<20,193,61
2361,<20,<20,153,<20,60,<20,38,23,<20,70,94,78,106,<20,53,<20,<20,<20,299,<20,<20,<20,<20,<20,<20,<20,<20
2363,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
2365,<20,<20,444,<20,98,<20,41,89,<20,167,325,233,256,32,126,31,51,<20,745,<20,<20,<20,<20,<20,<20,<20,<20
2369,<20,20,151,<20,58,<20,36,<20,<20,130,119,109,113,<20,69,<20,31,<20,373,<20,<20,<20,<20,<20,<20,<20,<20
2370,<20,<20,"1,252",<20,255,<20,117,173,<20,577,706,573,675,83,384,58,151,<20,"2,260",<20,<20,<20,<20,<20,<20,107,47
2371,<20,<20,246,<20,53,<20,33,25,<20,131,79,61,95,<20,65,<20,<20,<20,443,<20,<20,<20,<20,<20,<20,<20,<20
2372,<20,<20,878,<20,151,<20,70,98,<20,272,389,320,402,66,198,32,78,<20,"1,362",<20,<20,<20,<20,<20,<20,38,23
2379,<20,<20,26,<20,<20,<20,<20,<20,<20,<20,26,20,23,<20,<20,<20,<20,<20,43,<20,<20,<20,<20,<20,<20,<20,<20
2380,22,59,"1,393",<20,257,<20,95,134,<20,447,830,748,695,80,391,47,200,<20,"2,282",<20,<20,<20,<20,<20,<20,79,35
2381,<20,<20,145,<20,46,<20,28,<20,<20,83,110,97,109,<20,63,<20,25,<20,296,<20,<20,<20,<20,<20,<20,<20,<20
2382,<20,<20,205,<20,49,<20,<20,21,<20,59,118,121,117,<20,48,<20,30,<20,324,<20,<20,<20,<20,<20,<20,<20,<20
2386,<20,<20,32,<20,<20,<20,<20,<20,<20,<20,24,<20,<20,<20,<20,<20,<20,<20,45,<20,<20,<20,<20,<20,<20,<20,<20
2387,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
2388,<20,29,284,<20,68,<20,29,28,<20,122,267,232,209,<20,125,<20,75,<20,547,<20,<20,<20,<20,<20,<20,24,<20
2390,<20,39,987,<20,214,<20,87,106,<20,362,653,548,535,71,290,46,155,<20,"1,706",<20,<20,<20,<20,<20,<20,68,23
2391,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
2395,<20,<20,144,<20,43,<20,22,<20,<20,78,73,66,89,<20,49,<20,<20,<20,275,<20,<20,<20,<20,<20,<20,<20,<20
2396,<20,<20,191,<20,41,<20,23,<20,<20,60,81,65,83,<20,42,<20,21,<20,306,<20,<20,<20,<20,<20,<20,<20,<20
2397,<20,<20,25,<20,<20,<20,<20,<20,<20,<20,35,31,32,<20,<20,<20,<20,<20,44,<20,<20,<20,<20,<20,<20,<20,<20
2398,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
2399,<20,<20,63,<20,<20,<20,<20,<20,<20,37,49,40,28,<20,<20,<20,<20,<20,119,<20,<20,<20,<20,<20,<20,<20,<20
2400,64,114,866,<20,285,<20,134,153,<20,553,"1,002",866,872,97,472,35,336,<20,"2,039",<20,<20,<20,<20,<20,<20,143,23
2401,<20,<20,41,<20,<20,<20,<20,<20,<20,<20,31,27,20,<20,<20,<20,<20,<20,76,<20,<20,<20,<20,<20,<20,<20,<20
2402,<20,<20,315,<20,84,<20,38,28,<20,145,147,122,125,22,59,<20,24,<20,540,<20,<20,<20,<20,<20,<20,<20,<20
2403,<20,<20,90,<20,25,<20,<20,21,<20,55,70,54,58,<20,27,<20,<20,<20,187,<20,<20,<20,<20,<20,<20,<20,<20
2404,<20,<20,480,<20,85,<20,29,37,<20,128,124,105,120,26,62,<20,22,<20,694,<20,<20,<20,<20,<20,<20,<20,<20
2405,<20,<20,25,<20,<20,<20,<20,<20,<20,<20,47,33,20,<20,<20,<20,<20,<20,47,<20,<20,<20,<20,<20,<20,<20,<20
2406,<20,<20,66,<20,24,<20,<20,<20,<20,43,84,77,66,<20,43,<20,26,<20,163,<20,<20,<20,<20,<20,<20,<20,<20
2408,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,39,32,<20,<20,<20,<20,<20,<20,20,<20,<20,<20,<20,<20,<20,<20,<20
2409,<20,36,60,<20,41,<20,34,<20,<20,90,142,128,161,<20,97,<20,55,<20,258,<20,<20,<20,<20,<20,<20,28,<20
2410,<20,<20,21,<20,<20,<20,<20,<20,<20,<20,20,<20,<20,<20,<20,<20,<20,<20,50,<20,<20,<20,<20,<20,<20,<20,<20
2411,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
2415,<20,<20,36,<20,<20,<20,<20,<20,<20,<20,24,21,<20,<20,<20,<20,<20,<20,62,<20,<20,<20,<20,<20,<20,<20,<20
2420,<20,<20,606,<20,153,<20,66,102,<20,240,306,267,253,52,131,<20,59,<20,"1,035",<20,<20,<20,<20,<20,<20,<20,<20
2421,<20,<20,142,<20,34,<20,<20,38,<20,44,87,71,107,51,27,<20,<20,<20,223,<20,<20,<20,<20,<20,<20,<20,49
2422,<20,<20,990,<20,182,<20,88,172,<20,318,398,339,362,63,211,24,53,<20,"1,542",<20,<20,<20,<20,<20,<20,28,24
2423,<20,<20,496,<20,139,<20,84,66,<20,229,251,202,225,30,128,<20,46,<20,922,<20,<20,<20,<20,<20,<20,21,<20
2424,<20,<20,59,<20,<20,<20,<20,<20,<20,48,51,48,63,<20,41,<20,<20,<20,144,<20,<20,<20,<20,<20,<20,<20,<20
2425,<20,<20,251,<20,65,<20,34,37,<20,100,128,108,104,21,56,<20,<20,<20,430,<20,<20,<20,<20,<20,<20,<20,<20
2426,<20,<20,103,<20,30,<20,<20,<20,<20,60,60,51,79,21,42,<20,<20,<20,204,<20,<20,<20,<20,<20,<20,<20,<20
2427,<20,<20,892,<20,183,<20,91,40,<20,234,159,133,204,39,131,21,37,<20,"1,303",<20,<20,<20,<20,<20,<20,<20,<20
2428,<20,48,"5,986",29,"1,289",22,573,493,<20,"1,635","1,764","1,471","1,795",259,"1,133",116,390,26,"9,070",<20,<20,<20,21,50,<20,201,102
2429,<20,<20,"1,574",<20,418,<20,206,151,<20,667,913,737,831,117,497,62,171,<20,"2,859",<20,<20,<20,<20,<20,<20,89,46
2430,36,133,"6,227",38,"1,713",38,806,454,<20,"2,639","3,129","2,629","2,931",369,"1,673",237,667,36,"11,116",<20,<20,24,36,58,<20,424,180
2431,<20,<20,"1,184",<20,322,<20,145,105,<20,393,379,316,337,78,176,25,76,<20,"1,881",<20,<20,<20,<20,<20,<20,28,32
2439,<20,<20,347,<20,76,<20,38,48,<20,139,184,154,169,33,104,<20,33,<20,607,<20,<20,<20,<20,<20,<20,<20,<20
2440,85,176,"3,146",21,"1,199",24,633,238,<20,"2,177","2,329","1,992","2,145",267,"1,221",151,639,24,"7,109",<20,<20,<20,23,37,<20,258,118
2441,<20,20,532,<20,216,<20,125,30,<20,344,388,326,446,68,237,47,58,<20,"1,166",<20,<20,<20,<20,<20,<20,41,20
2443,<20,<20,"2,751",<20,494,<20,215,174,<20,634,605,490,619,106,401,43,124,<20,"3,935",<20,<20,<20,<20,<20,<20,52,40
2444,30,87,"8,665",86,"1,738",32,654,817,<20,"2,311","3,524","2,882","3,157",498,"1,663",241,588,24,"12,925",<20,<20,<20,24,55,<20,303,329
2445,<20,<20,"1,057",<20,245,<20,106,94,<20,221,497,386,410,56,222,28,56,<20,"1,548",<20,<20,<20,<20,<20,<20,28,22
2446,<20,39,"2,018",<20,552,<20,262,201,<20,710,"1,231",976,"1,040",157,495,97,205,<20,"3,408",<20,<20,<20,<20,23,<20,97,77
2447,<20,<20,"1,213",<20,328,<20,171,136,<20,514,685,529,622,91,357,54,123,<20,"2,193",<20,<20,<20,<20,<20,<20,69,36
2448,<20,49,"2,187",<20,485,<20,246,112,<20,770,784,663,858,122,525,68,204,<20,"3,644",<20,<20,<20,<20,25,<20,98,57
2449,<20,<20,325,<20,153,<20,100,28,<20,271,245,213,258,24,173,<20,58,<20,825,<20,<20,<20,<20,<20,<20,27,<20
2450,41,80,"5,757",112,"1,395",39,630,592,<20,"2,497","3,837","3,140","3,522",658,"1,887",282,768,24,"10,587",<20,<20,20,30,67,<20,402,487
2452,<20,41,"2,343",35,562,26,241,119,<20,845,"1,521","1,268","1,219",206,685,106,318,<20,"4,176",<20,<20,<20,<20,21,<20,134,122
2453,<20,<20,416,<20,76,<20,33,92,<20,185,246,211,220,24,152,22,34,<20,744,<20,<20,<20,<20,<20,<20,<20,<20
2454,<20,<20,920,44,178,<20,84,111,<20,387,844,711,763,140,402,93,136,<20,"1,713",<20,<20,<20,<20,<20,<20,45,68
2455,<20,<20,716,<20,137,<20,70,52,<20,221,230,181,231,34,124,<20,35,<20,"1,117",<20,<20,<20,<20,<20,<20,31,<20
2456,<20,24,"2,028",25,524,<20,243,125,<20,789,"1,328","1,081","1,144",183,655,104,245,<20,"3,674",<20,<20,<20,<20,31,<20,97,106
2460,37,105,"4,399",33,"1,350",40,677,365,<20,"2,255","2,834","2,361","2,515",352,"1,390",199,647,23,"8,691",<20,<20,23,35,44,<20,362,145
2462,<20,<20,428,<20,116,<20,65,46,<20,204,243,195,241,42,147,25,37,<20,806,<20,<20,<20,<20,<20,<20,<20,<20
2463,<20,27,"1,447",<20,335,<20,156,128,<20,517,623,499,634,91,369,57,88,<20,"2,379",<20,<20,<20,<20,<20,<20,51,37
2464,<20,23,"1,615",<20,340,<20,140,165,<20,416,535,431,497,64,353,42,113,<20,"2,472",<20,<20,<20,<20,<20,<20,49,28
2465,<20,<20,46,<20,20,<20,<20,<20,<20,23,39,33,39,<20,27,<20,<20,<20,98,<20,<20,<20,<20,<20,<20,<20,<20
2466,<20,<20,508,<20,124,<20,59,30,<20,169,124,103,137,29,91,<20,33,<20,817,<20,<20,<20,<20,<20,<20,<20,<20
2469,<20,22,622,<20,243,<20,150,57,<20,531,423,359,463,57,334,33,84,<20,"1,555",<20,<20,<20,<20,<20,<20,45,<20
2470,<20,75,"2,354",<20,720,40,318,182,<20,"1,112","1,545","1,250","1,372",219,672,118,331,<20,"4,481",<20,<20,<20,26,<20,<20,172,98
2471,<20,<20,302,<20,119,<20,73,30,<20,188,281,229,271,34,134,<20,66,<20,671,<20,<20,<20,<20,<20,<20,31,20
2472,<20,<20,261,<20,75,<20,40,35,<20,170,203,163,192,27,106,27,29,<20,535,<20,<20,<20,<20,<20,<20,<20,<20
2473,<20,<20,647,<20,147,<20,56,43,<20,244,230,203,251,40,149,21,45,<20,"1,053",<20,<20,<20,<20,<20,<20,<20,25
2474,<20,<20,924,<20,217,<20,117,102,<20,501,616,496,616,75,390,55,108,<20,"1,826",<20,<20,<20,<20,<20,<20,51,26
2475,<20,<20,61,<20,20,<20,<20,<20,<20,42,42,41,43,<20,29,<20,<20,<20,143,<20,<20,<20,<20,<20,<20,<20,<20
2476,<20,<20,116,<20,35,<20,20,28,<20,61,68,57,85,<20,60,<20,<20,<20,227,<20,<20,<20,<20,<20,<20,<20,<20
2477,<20,<20,"1,862",33,340,<20,141,251,<20,524,997,812,802,133,388,65,138,<20,"2,829",<20,<20,<20,<20,<20,<20,52,72
2478,20,36,"4,228",83,895,40,388,553,<20,"1,499","2,192","1,762","2,158",382,"1,069",128,353,<20,"6,889",<20,<20,<20,<20,33,<20,208,210
2479,<20,<20,368,39,80,<20,37,102,<20,174,414,335,398,69,205,35,53,<20,699,<20,<20,<20,<20,<20,<20,<20,30
2480,62,104,"5,058",278,"1,297",72,551,629,<20,"3,160","4,346","3,565","4,549","1,008","2,375",315,836,20,"10,693",23,<20,<20,26,80,<20,397,783
2481,<20,<20,775,123,163,<20,79,189,<20,770,920,765,"1,370",281,896,66,155,<20,"2,061",<20,<20,<20,<20,31,<20,76,195
2482,<20,<20,684,49,155,<20,82,99,<20,514,766,663,851,111,522,90,125,<20,"1,610",<20,<20,<20,<20,32,<20,51,45
2483,<20,<20,"1,177",52,305,<20,136,137,<20,704,"1,124",922,"1,151",147,748,94,187,<20,"2,483",<20,<20,<20,<20,31,<20,96,71
2484,<20,23,"2,375",62,592,<20,270,247,<20,"1,420","1,805","1,478","1,764",266,"1,042",138,315,<20,"4,752",<20,<20,<20,<20,38,<20,151,159
2485,<20,26,"3,093",27,647,<20,268,264,<20,"1,033","1,006",876,"1,113",181,687,66,273,<20,"4,947",<20,<20,<20,<20,21,<20,135,148
2486,34,48,"6,292",63,"1,428",33,498,477,<20,"1,575","2,425","1,963","2,124",395,"1,023",151,385,<20,"9,188",<20,<20,23,26,51,<20,221,250
2487,<20,26,"1,918",27,371,<20,149,158,<20,593,871,716,758,128,420,55,141,<20,"2,964",<20,<20,<20,<20,<20,<20,81,85
2488,<20,<20,310,<20,91,<20,49,22,<20,173,349,294,316,51,197,<20,67,<20,691,<20,<20,<20,<20,<20,<20,27,29
2489,<20,<20,"1,123",<20,244,<20,90,73,<20,287,662,572,487,93,213,36,110,<20,"1,697",<20,<20,<20,<20,<20,<20,42,42
2490,<20,<20,66,<20,<20,<20,<20,<20,<20,36,66,61,72,<20,48,<20,<20,<20,137,<20,<20,<20,<20,<20,<20,<20,<20
2500,42,<20,"4,133",216,929,<20,341,657,<20,"1,745","1,874","1,744","3,235","1,335","1,356",173,310,<20,"6,954",<20,<20,<20,<20,44,<20,257,"1,771"
2502,<20,<20,"2,315",33,749,<20,338,71,<20,"1,093","1,171","1,110","1,204",190,739,126,291,<20,"4,314",<20,<20,<20,<20,21,<20,126,143
2505,<20,<20,937,20,280,<20,106,24,<20,351,370,347,453,73,304,29,84,<20,"1,602",<20,<20,<20,<20,<20,<20,41,53
2506,<20,23,"1,141",<20,379,<20,179,<20,<20,622,697,603,648,119,377,55,175,<20,"2,267",<20,<20,<20,<20,<20,<20,76,92
2507,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
2508,<20,<20,585,<20,149,<20,45,70,<20,115,467,422,323,83,111,<20,54,<20,852,<20,<20,<20,<20,<20,<20,<20,66
2512,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
2514,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
2515,<20,<20,"1,052",30,171,<20,72,165,<20,233,464,420,448,162,193,22,63,<20,"1,499",<20,<20,<20,<20,<20,<20,<20,134
2516,<20,<20,590,<20,141,<20,54,54,<20,224,305,295,262,57,133,<20,53,<20,964,<20,<20,<20,<20,<20,<20,23,47
2517,<20,<20,"1,900",<20,409,<20,159,143,<20,549,718,682,653,165,323,23,109,<20,"2,872",<20,<20,<20,<20,<20,<20,43,133
2518,<20,36,"2,967",37,765,<20,315,170,<20,"1,258","1,349","1,241","1,300",245,756,70,255,<20,"5,094",<20,<20,<20,<20,28,<20,119,243
2519,<20,<20,"2,383",38,559,<20,219,263,<20,741,917,844,"1,069",389,473,49,149,<20,"3,656",<20,<20,<20,<20,<20,<20,72,485
2520,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,22,<20,<20,<20,<20,<20,<20,<20,<20
2522,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,28,27,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,38
2525,<20,<20,"1,485",23,323,<20,109,199,<20,275,582,521,536,144,229,27,80,<20,"2,017",<20,<20,<20,<20,<20,<20,37,99
2526,<20,<20,"1,837",32,487,<20,190,142,<20,686,994,915,883,202,423,58,174,<20,"3,065",<20,<20,<20,<20,23,<20,83,157
2527,<20,26,"2,170",<20,679,29,250,93,<20,890,"1,747","1,572","1,132",205,501,74,342,<20,"3,947",<20,<20,<20,<20,30,<20,104,173
2528,26,65,"4,349",41,"1,267",30,584,140,<20,"1,778","2,095","1,900","1,843",300,996,138,492,28,"7,669",<20,<20,<20,<20,44,<20,237,208
2529,<20,20,"2,721",31,815,31,285,176,<20,845,"1,641","1,479","1,258",236,535,70,265,<20,"4,369",<20,<20,<20,<20,35,<20,96,166
2530,<20,36,"4,359",40,"1,108",49,412,213,<20,"1,417","2,411","2,159","1,856",370,854,113,475,32,"7,088",<20,<20,<20,21,39,<20,174,271
2533,<20,<20,"2,225",22,316,<20,95,427,<20,390,756,652,674,176,275,25,96,<20,"2,930",<20,<20,<20,<20,<20,<20,46,115
2534,<20,<20,758,<20,111,<20,31,141,<20,94,303,255,223,48,71,<20,42,<20,968,<20,<20,<20,<20,<20,<20,<20,49
2535,<20,<20,"1,534",<20,199,<20,74,235,<20,226,355,323,282,66,125,<20,64,<20,"1,958",<20,<20,<20,<20,<20,<20,<20,29
2536,20,54,"3,520",26,686,<20,301,388,<20,"1,180","1,485","1,222","1,268",148,738,111,314,<20,"5,619",<20,<20,<20,22,33,<20,156,68
2537,<20,<20,"2,212",21,391,<20,169,248,<20,741,918,728,757,126,436,54,143,<20,"3,479",<20,<20,<20,<20,28,<20,76,59
2538,<20,<20,401,<20,63,<20,26,68,<20,88,181,140,149,26,79,<20,24,<20,571,<20,<20,<20,<20,<20,<20,<20,<20
2539,<20,27,"3,676",23,738,<20,325,335,<20,"1,127","1,449","1,130","1,300",206,741,111,191,22,"5,639",<20,<20,<20,<20,24,<20,90,99
2540,27,93,"8,014",58,"1,861",52,880,609,<20,"2,256","3,420","2,846","2,988",476,"1,598",201,613,44,"12,499",21,<20,20,24,80,<20,297,251
2541,36,109,"3,812",45,"1,085",25,500,229,<20,"2,082","2,396","2,095","2,183",282,"1,169",164,583,<20,"7,459",<20,<20,<20,26,37,<20,296,181
2545,<20,<20,174,<20,36,<20,21,23,<20,80,90,68,102,<20,72,<20,<20,<20,336,<20,<20,<20,<20,<20,<20,<20,<20
2546,<20,28,"1,989",<20,358,<20,171,222,<20,715,652,533,672,150,412,59,104,<20,"3,199",<20,<20,<20,<20,20,<20,58,33
2548,<20,<20,"1,650",<20,210,<20,80,203,<20,356,453,357,383,68,214,30,69,<20,"2,248",<20,<20,<20,<20,<20,<20,35,32
2549,<20,<20,583,<20,83,<20,29,71,<20,176,295,208,203,31,117,20,45,<20,889,<20,<20,<20,<20,<20,<20,20,<20
2550,<20,33,"2,198",27,426,<20,174,260,<20,992,"1,367","1,060","1,130",179,606,102,182,<20,"3,811",<20,<20,<20,<20,27,<20,102,91
2551,<20,<20,638,<20,96,<20,50,61,<20,282,302,264,277,29,171,21,78,<20,"1,117",<20,<20,<20,<20,<20,<20,39,<20
2555,<20,<20,55,<20,24,<20,<20,<20,<20,39,61,55,44,<20,<20,<20,<20,<20,135,<20,<20,<20,<20,<20,<20,<20,<20
2556,<20,<20,180,<20,87,<20,38,39,<20,66,191,150,134,<20,58,<20,35,<20,342,<20,<20,<20,<20,<20,<20,<20,<20
2557,<20,<20,407,<20,171,<20,71,66,<20,133,340,286,271,59,98,29,48,<20,685,<20,<20,<20,<20,<20,<20,<20,45
2558,<20,<20,659,<20,401,32,159,<20,<20,356,"1,071",908,870,143,409,48,213,<20,"1,577",<20,<20,<20,<20,<20,<20,68,127
2559,<20,<20,131,<20,203,<20,124,<20,<20,259,601,573,530,48,300,50,242,<20,917,<20,<20,<20,<20,<20,<20,63,48
2560,48,146,"6,501",153,"3,119",188,"1,382",298,<20,"3,479","7,178","6,391","6,013",953,"2,742",418,"1,628",31,"14,247",22,29,40,24,121,<20,488,904
2563,<20,<20,31,<20,<20,<20,<20,<20,<20,<20,23,21,<20,<20,<20,<20,<20,<20,59,<20,<20,<20,<20,<20,<20,<20,<20
2564,<20,28,"1,228",25,709,26,378,62,<20,805,"1,656","1,484","1,444",233,680,133,339,<20,"3,081",<20,<20,<20,<20,23,<20,113,221
2565,<20,<20,"1,463",46,538,39,254,101,<20,537,"1,560","1,364","1,449",411,520,107,253,<20,"2,742",<20,<20,<20,<20,32,<20,81,218
2566,<20,26,"1,591",50,966,53,453,72,<20,945,"2,505","2,182","2,008",335,780,183,435,<20,"3,781",<20,<20,<20,<20,45,<20,136,290
2567,<20,27,"1,797",31,"1,058",131,293,110,<20,646,"2,631","2,297","1,740",242,492,82,415,<20,"3,418",<20,<20,<20,<20,27,<20,103,288
2568,<20,<20,170,<20,22,<20,<20,33,<20,<20,47,36,30,<20,<20,<20,<20,<20,196,<20,<20,<20,<20,<20,<20,<20,<20
2569,<20,<20,96,<20,32,<20,<20,<20,<20,30,75,71,49,<20,27,<20,<20,<20,174,<20,<20,<20,<20,<20,<20,<20,<20
2570,<20,<20,"2,979",52,801,75,207,334,<20,580,"1,766","1,538","1,330",276,394,54,254,<20,"4,213",<20,<20,<20,<20,35,<20,79,226
2571,<20,<20,768,<20,262,24,91,112,<20,214,670,553,454,71,174,<20,97,<20,"1,246",<20,<20,<20,<20,<20,<20,27,65
2572,<20,<20,433,<20,123,<20,34,53,<20,112,282,259,235,46,68,<20,46,<20,663,<20,<20,<20,<20,<20,<20,<20,32
2573,<20,<20,528,<20,171,<20,77,42,<20,198,429,388,327,49,133,<20,86,<20,952,<20,<20,<20,<20,<20,<20,28,32
2574,<20,<20,608,<20,179,<20,57,35,<20,174,403,355,297,39,127,<20,56,<20,938,<20,<20,<20,<20,<20,<20,20,23
2575,<20,<20,"1,769",<20,398,<20,134,230,<20,585,"1,067",904,696,85,289,60,174,<20,"2,803",<20,<20,<20,<20,<20,<20,56,72
2576,<20,<20,"2,208",22,272,<20,64,593,<20,301,592,504,412,65,152,22,84,<20,"2,706",<20,<20,<20,<20,<20,<20,21,37
